Step -1, training acc: 0.800, instruction: 
Step 14, training acc: 0.620, instruction: Not (False or False or True) and not False
Step 14, training acc: 0.760, instruction: Not True
Step 14, training acc: 0.460, instruction: Not ( not False or not False )
Step 14, training acc: 0.860, instruction: False and False and False or False is False
Step 15, training acc: 0.480, instruction: Not (False or True) and (False or not False)
Step 15, training acc: 0.540, instruction: Not (False or not False and True)
Step 15, training acc: 0.800, instruction: True
Step 15, training acc: 0.820, instruction: (False or True) and False
Step 15, training acc: 0.880, instruction: True and not True
Step 15, training acc: 0.820, instruction: Not not not not not not not not not True
Step 15, training acc: 0.860, instruction: False and True and ( not False ) is False
Step 15, training acc: 0.860, instruction: False and True and ( not False ) is False
Step 16, training acc: 0.840, instruction: False and (not True) and False is False
Step 16, training acc: 0.720, instruction: True or not False
Step 16, training acc: 0.520, instruction: Not (True or False) and True
Step 16, training acc: 0.880, instruction: False and False and not (True or False or True) is False
Step 16, training acc: 0.680, instruction: Not (False or False) and False
Step 16, training acc: 0.620, instruction: Not (True or False) and not True
Step 16, training acc: 0.600, instruction: Not (True and False) and not (True and False)
Step 16, training acc: 0.820, instruction: False and False and False and False and False and False and False and False and False and False
Step 17, training acc: 0.640, instruction: False and (not True) and not False
Step 17, training acc: 0.540, instruction: Not (False or True)
Step 17, training acc: 0.440, instruction: Not (False or (False or not True))
Step 17, training acc: 0.380, instruction: False and ( False or True ) or not True is
Step 17, training acc: 0.900, instruction: True and not False and (not False) is True
Step 17, training acc: 0.800, instruction: False and not False
Step 17, training acc: 0.560, instruction: True and (False or not False)
Step 18, training acc: 0.860, instruction: True and True and not False is True
Step 18, training acc: 0.680, instruction: True or False or not False
Step 18, training acc: 0.520, instruction: (True and False) and (not False) and (not False)
Step 18, training acc: 0.440, instruction: False and False and False or not False or True and not (not True)
Step 18, training acc: 0.880, instruction: False and False or False and False and False and not False is False
Step 18, training acc: 0.820, instruction: False and not True
Step 18, training acc: 0.560, instruction: Not (False and False and False) and not (True or True)
Step 19, training acc: 0.840, instruction: True and False and not True
Step 19, training acc: 0.860, instruction: False or False or False and not False
Step 19, training acc: 0.600, instruction: Not (False and False and False)
Step 19, training acc: 0.820, instruction: Not (False or True) and (not False) is True
Step 19, training acc: 0.660, instruction: True or False or (True and False)
Step 19, training acc: 0.760, instruction: True or False
Step 19, training acc: 0.540, instruction: True and (not False) or (not True)
Step 20, training acc: 0.520, instruction: Not ( True or False ) and not False
Step 20, training acc: 0.560, instruction: False and (not True) or not False
Step 20, training acc: 0.720, instruction: True or not False
Step 20, training acc: 0.800, instruction: Not (True or False) and False is False
Step 20, training acc: 0.880, instruction: True and not True
Step 20, training acc: 0.880, instruction: False and not (True or True) and False is False
Step 20, training acc: 0.880, instruction: True and (True or not False) is True
Step 20, training acc: 0.500, instruction: Not ( not ( True ) or False ) and ( False and False ) or True
Step 21, training acc: 0.600, instruction: True and (True or False) and (not False)
Step 21, training acc: 0.600, instruction: False and False or not True and False
Step 21, training acc: 0.840, instruction: True and (True or False) and False is True
Step 21, training acc: 0.580, instruction: Not (True and False) and (False or not False)
Step 21, training acc: 0.700, instruction: False and not True or False
Step 21, training acc: 0.880, instruction: True and (False or not False) is True
Step 22, training acc: 0.560, instruction: True and (True or not False)
Step 22, training acc: 0.580, instruction: True or False or (not True and not False)
Step 22, training acc: 0.480, instruction: True or (True or not False)
Step 22, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 22, training acc: 0.500, instruction: True and True or not (False and False)
Step 22, training acc: 0.700, instruction: False and not True or False
Step 22, training acc: 0.520, instruction: Not ( not False and not True )
Step 23, training acc: 0.620, instruction: Not False and not False and (True or False) is
Step 23, training acc: 0.620, instruction: True or (False and not False) and (not not False)
Step 23, training acc: 0.680, instruction: Not True or (True and not False)
Step 23, training acc: 0.880, instruction: True and False and (not False) is True
Step 23, training acc: 0.760, instruction: Not True and not False and not False
Step 23, training acc: 0.540, instruction: Not ( True and False )
Step 23, training acc: 0.640, instruction: False and (False or not False) and not True
Step 24, training acc: 0.880, instruction: True and (True or not False) is True
Step 24, training acc: 0.700, instruction: Not False and not not True
Step 24, training acc: 0.720, instruction: Not (False and True) and (False or not False)
Step 24, training acc: 0.540, instruction: True and False and (True or False or True) is not False
Step 24, training acc: 0.880, instruction: False and False and not (True or False or True) is False
Step 24, training acc: 0.620, instruction: True and True and not False or False
Step 24, training acc: 0.640, instruction: True and True and True or False or False or not False
Step 25, training acc: 0.880, instruction: True and (False or not False) is True
Step 25, training acc: 0.440, instruction: False and False and (not True or not False)
Step 25, training acc: 0.760, instruction: ```False and not True and (True or False) is False```
Step 25, training acc: 0.860, instruction: True and False and (True or False or True) is True
Step 25, training acc: 0.580, instruction: True and False and not (True or False or True)
Step 25, training acc: 0.880, instruction: True and (False or not False) is True
Step 25, training acc: 0.820, instruction: True and True and not True is False
Step 26, training acc: 0.620, instruction: True and (False or not not False)
Step 26, training acc: 0.840, instruction: Not False and not not False and (not False)
Step 26, training acc: 0.580, instruction: True and False and not (True or False or True)
Step 26, training acc: 0.760, instruction: Not True or False or not not True is True
Step 26, training acc: 0.820, instruction: True and False and not False
Step 26, training acc: 0.820, instruction: Not (False and False and False) is True
Step 26, training acc: 0.880, instruction: True and not (False or True) is True
Step 26, training acc: 0.880, instruction: False and False
Step 27, training acc: 0.680, instruction: True and (True or False) and not (False or True)
Step 27, training acc: 0.720, instruction: Not False and not False or False
Step 27, training acc: 0.820, instruction: True and (not False) and True
Step 27, training acc: 0.600, instruction: Not not ( True or False ) and not False
Step 27, training acc: 0.540, instruction: True and False and not False and not (True or False or True)
Step 27, training acc: 0.640, instruction: False and False and (True or False)
Step 27, training acc: 0.800, instruction: Not not False and not False
Step 27, training acc: 0.820, instruction: False and False and False and False and False and False and False and not False
Step 28, training acc: 0.880, instruction: True and (False or not False) is True
Step 28, training acc: 0.580, instruction: False or True and not (False and False)
Step 28, training acc: 0.900, instruction: True and not (True and True)
Step 28, training acc: 0.840, instruction: Not (False or False or False) is True
Step 28, training acc: 0.580, instruction: True and False and not (True or False or True)
Step 28, training acc: 0.880, instruction: False and False and not (True or False or True) is False
Step 28, training acc: 0.420, instruction: Not ( not ( True or True or False ) )
Step 28, training acc: 0.760, instruction: Not (False or True or False) is False
Step 29, training acc: 0.500, instruction: True and (not False or False)
Step 29, training acc: 0.880, instruction: False and False and not (False and False and True) is False
Step 29, training acc: 0.800, instruction: 
Step 29, training acc: 0.880, instruction: True and not (True or False or True) is False
Step 29, training acc: 0.580, instruction: True and False and not (True or False or True)
Step 29, training acc: 0.660, instruction: True or False or (True and False)
Step 29, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 29, training acc: 0.460, instruction: Not ( True and False ) and not ( False and True )
Step 30, training acc: 0.900, instruction: True and not (True or True or True) is False
Step 30, training acc: 0.640, instruction: True and not False or False and True
Step 30, training acc: 0.520, instruction: True and False and (not False or not True)
Step 30, training acc: 0.900, instruction: Not not not False and True and False and not not not (False or True) is False
Step 30, training acc: 0.460, instruction: Not ( not True or not False )
Step 30, training acc: 0.520, instruction: False and not (True or True)
Step 30, training acc: 0.880, instruction: True and False and not ( True or False or True ) is False
Step 30, training acc: 0.620, instruction: Not (False or not True) and not (True and False)
Step 31, training acc: 0.580, instruction: True and (True or False)
Step 31, training acc: 0.900, instruction: True and not (True and True)
Step 31, training acc: 0.660, instruction: Not (False and True) and not False
Step 31, training acc: 0.620, instruction: True and not (False and False and False)
Step 31, training acc: 0.840, instruction: Not ( True or True ) and False is False
Step 31, training acc: 0.660, instruction: True and ( True or not False ) and False
Step 31, training acc: 0.880, instruction: Not (False and not True) and False is False
Step 32, training acc: 0.860, instruction: True and False and not (True or True or True) is False
Step 32, training acc: 0.860, instruction: False or (False) or not True is False
Step 32, training acc: 0.800, instruction: 
Step 32, training acc: 0.880, instruction: False and not (True or False or True) is False
Step 32, training acc: 0.860, instruction: True and False and (True or False) is True
Step 32, training acc: 0.860, instruction: False or (False) or not True is False
Step 32, training acc: 0.880, instruction: True and not (False or True or True) is False
Step 32, training acc: 0.760, instruction: Not (False or False and False) is True
Step 33, training acc: 0.560, instruction: True and (True or not False)
Step 33, training acc: 0.660, instruction: False and not (True and False) and not False
Step 33, training acc: 0.660, instruction: True and (not True or False) and not True
Step 33, training acc: 0.860, instruction: True and False and (True or not False) is True
Step 33, training acc: 0.660, instruction: True and (False or True or not False)
Step 33, training acc: 0.380, instruction: True and (True or not False or False) and not (not True and True and not not False) and (True and not True and True) is
Step 33, training acc: 0.520, instruction: Not (not True and not True and not True)
Step 33, training acc: 0.500, instruction: False and (False or not True) and not (True or not True)
Step 34, training acc: 0.600, instruction: True and not (True or False or False)
Step 34, training acc: 0.500, instruction: Not True or (not True or not False)
Step 34, training acc: 0.860, instruction: Not True and False and not True
Step 34, training acc: 0.920, instruction: Not True or ( False and True ) is False
Step 34, training acc: 0.860, instruction: True and (not True) is False
Step 34, training acc: 0.660, instruction: True and False and not (False or True)
Step 34, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 35, training acc: 0.620, instruction: True and False and not (False and True and False)
Step 35, training acc: 0.460, instruction: False and not (False and False) and not (True or True)
Step 35, training acc: 0.580, instruction: True or not False and (False or True)
Step 35, training acc: 0.760, instruction: Not False and not True and False
Step 35, training acc: 0.400, instruction: Not ( True or not True ) and ( not False )
Step 35, training acc: 0.620, instruction: Not True or ( False and not False ) and not True
Step 35, training acc: 0.820, instruction: True and (False or not True) is True
Step 35, training acc: 0.560, instruction: Not (True and False) and (not False)
Step 36, training acc: 0.620, instruction: True and (False or not not False)
Step 36, training acc: 0.620, instruction: Not (False and not (False and True))
Step 36, training acc: 0.800, instruction: Not True and False or False and False is False
Step 36, training acc: 0.640, instruction: Not not not False and True and False and not not not (False or True)
Step 36, training acc: 0.560, instruction: True and not (True and False) and not (True and True)
Step 36, training acc: 0.860, instruction: False and not (True or True or False) is False
Step 36, training acc: 0.920, instruction: True and ( False or not not not False ) is True
Step 36, training acc: 0.460, instruction: Not (not False or not True)
Step 37, training acc: 0.560, instruction: True and (False or not False)
Step 37, training acc: 0.580, instruction: True and not (False or True) or False
Step 37, training acc: 0.880, instruction: True and False and (not False) is True
Step 37, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 37, training acc: 0.620, instruction: True and (False or not False) and not (False or True or True)
Step 37, training acc: 0.820, instruction: Not ( False or False and False ) is True
Step 37, training acc: 0.880, instruction: True and False and (not False) is True
Step 38, training acc: 0.880, instruction: True and (False or not not False) is True
Step 38, training acc: 0.840, instruction: True and not (False or True) or (False and False) is True
Step 38, training acc: 0.880, instruction: True and not (False or True or True) is False
Step 38, training acc: 0.780, instruction: False and (False or not False) is True
Step 38, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 38, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 38, training acc: 0.880, instruction: True and False and (not False) is True
Step 39, training acc: 0.880, instruction: True and not (False or not not True) is True
Step 39, training acc: 0.660, instruction: True or False or (True and False)
Step 39, training acc: 0.700, instruction: True and False and ( not True and True ) and not False
Step 39, training acc: 0.880, instruction: True and not (False or True) is True
Step 39, training acc: 0.860, instruction: True and False or True or False is True
Step 39, training acc: 0.460, instruction: Not (False or True) and not (not True or not False)
Step 39, training acc: 0.600, instruction: True or False or not True or False
Step 39, training acc: 0.820, instruction: True and False and not (True or False or True) is True
Step 40, training acc: 0.880, instruction: True and False and not (False and False and True) is False
Step 40, training acc: 0.780, instruction: False or False or not False or not False or not False
Step 40, training acc: 0.660, instruction: Not (True or False) and not False
Step 40, training acc: 0.860, instruction: Not False and not False and not False
Step 40, training acc: 0.560, instruction: Not ( True and not False ) and not False or False and False
Step 40, training acc: 0.660, instruction: Not not True or not not False or False
Step 40, training acc: 0.660, instruction: True or not (False and False and True)
Step 40, training acc: 0.760, instruction: Not (False or False and False) is True
Step 41, training acc: 0.860, instruction: True and not (True or True or False) is False
Step 41, training acc: 0.520, instruction: True and not (False or False and False)
Step 41, training acc: 0.480, instruction: True or (not False and not True)
Step 41, training acc: 0.380, instruction: Not (False or not not not False) and not (True or True or False)
Step 41, training acc: 0.720, instruction: False and (False and not True) and not False
Step 41, training acc: 0.480, instruction: Not ( True or True or False )
Step 41, training acc: 0.720, instruction: True or not (False and False)
Step 42, training acc: 0.880, instruction: True and False and not (False and False and True) is False
Step 42, training acc: 0.580, instruction: True and False and (True or False or not True)
Step 42, training acc: 0.700, instruction: True or (not False) and True
Step 42, training acc: 0.480, instruction: Not False and not not True and (True or False)
Step 42, training acc: 0.840, instruction: True and (not True or False) is False
Step 42, training acc: 0.540, instruction: Not (True or False) or True
Step 42, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 43, training acc: 0.620, instruction: True and (False or not not not False)
Step 43, training acc: 0.880, instruction: False and (False or not False) is False
Step 43, training acc: 0.440, instruction: True or (not False and not False)
Step 43, training acc: 0.640, instruction: False and True and False and (False or not not False)
Step 43, training acc: 0.880, instruction: False and (False or not False) is False
Step 43, training acc: 0.880, instruction: True and not (True or False or True) is False
Step 44, training acc: 0.620, instruction: True and not (True or False)
Step 44, training acc: 0.640, instruction: True and not (False and not True)
Step 44, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 44, training acc: 0.880, instruction: True and False and not (False and False and not True) is False
Step 44, training acc: 0.880, instruction: True and not (True and True and True)
Step 44, training acc: 0.560, instruction: True and (False or not False)
Step 45, training acc: 0.600, instruction: True and (False or not True) and not False
Step 45, training acc: 0.840, instruction: Not True and not False
Step 45, training acc: 0.640, instruction: True or (False and True)
Step 45, training acc: 0.580, instruction: True and False and not (False and True and True)
Step 45, training acc: 0.880, instruction: True and not (True and True and True)
Step 45, training acc: 0.540, instruction: True and not (False and True or not True)
Step 45, training acc: 0.720, instruction: True or not False
Step 45, training acc: 0.620, instruction: True and (False or not not False)
Step 46, training acc: 0.400, instruction: Not (False and not True) or (True and False)
Step 46, training acc: 0.640, instruction: True or (False and True)
Step 46, training acc: 0.480, instruction: Not (not False or True)
Step 46, training acc: 0.580, instruction: True and False and (True or False or not True)
Step 46, training acc: 0.540, instruction: False and (not False or True) and True or False
Step 46, training acc: 0.560, instruction: True and (True or not False)
Step 46, training acc: 0.860, instruction: Not ( True or False or False ) and not ( False and True and False ) is False
Step 47, training acc: 0.880, instruction: True and (False or not False) is True
Step 47, training acc: 0.860, instruction: True and (False or True) is True
Step 47, training acc: 0.640, instruction: True or (False and True)
Step 47, training acc: 0.900, instruction: True and (False or not not not False) is True
Step 47, training acc: 0.320, instruction: Not ( False or True ) and not False is
Step 47, training acc: 0.800, instruction: True
Step 47, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 47, training acc: 0.600, instruction: True and not (True or False or False)
Step 48, training acc: 0.880, instruction: True and not (False or not not True) is True
Step 48, training acc: 0.680, instruction: Not not True or not False
Step 48, training acc: 0.700, instruction: True or (not False) and True
Step 48, training acc: 0.900, instruction: True and (False or not not not False) is True
Step 48, training acc: 0.480, instruction: True and ( not not False or not not True )
Step 48, training acc: 0.760, instruction: True or False
Step 48, training acc: 0.620, instruction: True or False or not not not (True or True) or True
Step 49, training acc: 0.640, instruction: Not (True or not True)
Step 49, training acc: 0.440, instruction: True or (not False and not False)
Step 49, training acc: 0.880, instruction: False and not (False or True or True) is False
Step 49, training acc: 0.880, instruction: False and True
Step 49, training acc: 0.900, instruction: True and (False or not not not False) is True
Step 50, training acc: 0.900, instruction: True and (False or not not not False) is True
Step 50, training acc: 0.820, instruction: True and (False or not True) is True
Step 50, training acc: 0.600, instruction: True and not (True or False or True)
Step 50, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 50, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 50, training acc: 0.840, instruction: Not True and not False
Step 50, training acc: 0.440, instruction: True or (not False and not not True)
Step 51, training acc: 0.560, instruction: True and (False or not False)
Step 51, training acc: 0.840, instruction: False and (True or False or True) is False
Step 51, training acc: 0.580, instruction: True or (False and not False)
Step 51, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 51, training acc: 0.520, instruction: True and ( not ( True or True ) ) or False
Step 51, training acc: 0.800, instruction: Not (True or True) and False is False
Step 51, training acc: 0.720, instruction: True or not False
Step 51, training acc: 0.820, instruction: True and False and not (True or False or True) is True
Step 52, training acc: 0.560, instruction: True and (False or not False)
Step 52, training acc: 0.460, instruction: False and not (False and False) and not (True and True)
Step 52, training acc: 0.640, instruction: True or not False and not (True or not True)
Step 52, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 52, training acc: 0.820, instruction: True and ( not True ) and False is False
Step 52, training acc: 0.560, instruction: Not True and not (False and not False) or (True and False)
Step 52, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 52, training acc: 0.820, instruction: True and False and not (True or False or True) is True
Step 53, training acc: 0.560, instruction: True and (False or not False)
Step 53, training acc: 0.880, instruction: True and (False or not False) is True
Step 53, training acc: 0.700, instruction: Not not True and not (True or not True)
Step 53, training acc: 0.920, instruction: Not True or ( False and True ) is False
Step 53, training acc: 0.900, instruction: False and (True and False) is False
Step 53, training acc: 0.620, instruction: Not False and not (True and not True)
Step 53, training acc: 0.540, instruction: True and False and (not True or False or not False) and (not True or not False or not False) and (not not False or False or True)
Step 54, training acc: 0.900, instruction: False and not (False and True) is False
Step 54, training acc: 0.640, instruction: Not True or ( False and True )
Step 54, training acc: 0.880, instruction: True and not (False or not not True) is True
Step 54, training acc: 0.380, instruction: True and ( not ( not ( False ) ) or False )
Step 54, training acc: 0.860, instruction: False and False or not ( True ) is False
Step 54, training acc: 0.460, instruction: True and False and (False or not True)
Step 54, training acc: 0.820, instruction: Not ( False or False and False ) is True
Step 55, training acc: 0.900, instruction: True and False and not (False or True or True) is False
Step 55, training acc: 0.780, instruction: True and False and (True and False)
Step 55, training acc: 0.880, instruction: False and (False or not False) is False
Step 55, training acc: 0.880, instruction: True and False and not (False and False and True) is False
Step 55, training acc: 0.820, instruction: Not False or (True) and True is True
Step 55, training acc: 0.580, instruction: True and False and not (False and False and True)
Step 55, training acc: 0.760, instruction: True or ( True ) or True
Step 55, training acc: 0.880, instruction: True and not (False or True or True) is False
Step 56, training acc: 0.780, instruction: Not (False or False or True) is True
Step 56, training acc: 0.440, instruction: True or (not False and not False)
Step 56, training acc: 0.900, instruction: True and not (False or False or True) is False
Step 56, training acc: 0.740, instruction: False and False or True
Step 56, training acc: 0.660, instruction: Not (not False) and (False or True or not False)
Step 56, training acc: 0.560, instruction: True and (not False or not not not False)
Step 56, training acc: 0.900, instruction: False and (not False or not True) is False
Step 57, training acc: 0.880, instruction: True and False and not (False and False and not True) is False
Step 57, training acc: 0.420, instruction: True and False and (True and False) and not (False or True or True)
Step 57, training acc: 0.220, instruction: True and not (False or True) or not False is
Step 57, training acc: 0.880, instruction: True and not (True or False or True) is False
Step 57, training acc: 0.840, instruction: True and (not True or False) is False
Step 57, training acc: 0.860, instruction: False or (False) or not True is False
Step 57, training acc: 0.500, instruction: True and not False and (not False or not True)
Step 57, training acc: 0.620, instruction: True and (False or not not not False)
Step 58, training acc: 0.880, instruction: True and False and not (False and False and not True) is False
Step 58, training acc: 0.780, instruction: True and False and (True and False)
Step 58, training acc: 0.620, instruction: True and (False or not not False)
Step 58, training acc: 0.900, instruction: True and not (True or False or not False) is False
Step 58, training acc: 0.560, instruction: Not not (True and False)
Step 58, training acc: 0.920, instruction: True and False and not (True or False or True) is False
Step 58, training acc: 0.540, instruction: Not (True and False) and not (False and False)
Step 59, training acc: 0.680, instruction: True and (False or (True or False))
Step 59, training acc: 0.860, instruction: True and (False or True) is True
Step 59, training acc: 0.560, instruction: True and (False or not False)
Step 59, training acc: 0.600, instruction: True and not (True or False or False)
Step 59, training acc: 0.580, instruction: True and False and not (True or False or True)
Step 59, training acc: 0.480, instruction: True and (not False or True)
Step 59, training acc: 0.860, instruction: True and False and ( not False or not True ) is False
Step 59, training acc: 0.580, instruction: Not False or not (not True)
Step 60, training acc: 0.620, instruction: True and not (False or False) and (not False or True)
Step 60, training acc: 0.780, instruction: True and not (True and True) and False
Step 60, training acc: 0.840, instruction: True and (False or not True or not False) is True
Step 60, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 60, training acc: 0.480, instruction: Not (not (True or False) or not (False or True))
Step 60, training acc: 0.680, instruction: True and not (False or False or True)
Step 60, training acc: 0.900, instruction: True and False and (not True or False or not False) is False
Step 60, training acc: 0.600, instruction: Not ( True or False ) and False is
Step 61, training acc: 0.460, instruction: True and False and (False or not True)
Step 61, training acc: 0.500, instruction: True and False and not (False or True or True)
Step 61, training acc: 0.800, instruction: True and False and (True or False or True) is False
Step 61, training acc: 0.600, instruction: True and not (True or False or False)
Step 61, training acc: 0.860, instruction: True and False and (True or False or True) is True
Step 61, training acc: 0.620, instruction: True and (False or not not not False)
Step 62, training acc: 0.900, instruction: True and False and (False or not True or not False) is False
Step 62, training acc: 0.760, instruction: True or False
Step 62, training acc: 0.480, instruction: Not (True or False) and (False or True)
Step 62, training acc: 0.880, instruction: False and True
Step 62, training acc: 0.800, instruction: Not (True or False) and (not False) is True
Step 62, training acc: 0.600, instruction: True and not (True or False or True)
Step 62, training acc: 0.820, instruction: Not ( True or False ) and False is False
Step 63, training acc: 0.540, instruction: True and not (False or not False or not True)
Step 63, training acc: 0.780, instruction: False or not not True or not False is True
Step 63, training acc: 0.440, instruction: True or (not False and not False)
